Транскрипция записи "ФКР. Статус" 05 августа 2026 г
**00:36:56** **Михаил Кузьменко ФК:** Вот мы сейчас подошли к моменту нашего второго вопроса. То есть мы изначально обозначали два кейса. Кейс с фильтрами, который мы изначально обсуждали. А второй кейс связанный с тем, что вот период, он отображает разные отчёты за разные периоды. Но кроме того, отчёт, вернее не отчёты, а расчёты. Расчёты за разные периоды. И эти расчёты, они могут быть сделаны по разным методикам. Соответственно, вот первый квартал у нас 26-го года, он уже посчитан по новой методике, и там есть изменения в полях. Нам бы хотелось, чтобы вот к периоду можно было привязать какие-то изменения на интерфейсе, чтобы в зависимости от выбранного периода, ну, мы какие-то корректировки, наименование полей, допустим, могли по-другому назвать, скрыть какие-то поля.

**00:38:02** **Вадим Мединцев:** Поля в таблице или поля в названиях визуализации, то есть?

**00:38:09** **Михаил Кузьменко ФК:** Ну, поля в таблицах, в первую очередь. То есть если мы на выгрузку переключимся... у нас есть компонент, который в 26-м году он с пустыми данными. То есть хотелось бы скрыть эти... там чуть подальше... вот допустим, это пустое пространство, которое отображается только из-за того, что эта таблица отображает все поля для 25-го года. В 26-м году они уже, соответственно, пустые. И кроме этого, ряд полей изменили своё название, так как по новой методике компоненты, они хоть по сути там те же самые, но название у них другое стало. Соответственно, нам пришлось изменить название здесь под 26-й год, а при переключении в 25-й они некорректно сейчас отображают, ну, то есть не соответствуют названию старому.

**00:39:32** **Роман Чернышов:** Ну и при этом хотелось бы сохранить, как бы, вот мы имеем один отчёт, просто в разные периоды у нас мы разные поля в таблице видим. Ну, какие-то поля скрываются в одном периоде, раскрываются в другом периоде. Названия полей в одном периоде одним образом называются, в другом – другим.

**00:39:53** **Михаил Кузьменко ФК:** Да. И то есть ну сейчас они, даже те, которые называются по-разному, они привязаны к одним и тем же полям в базе данных, поэтому они как бы отображаются. То есть пока запрос именно такой: скрывать поля и менять наименование таблицы, ну, заголовка в таблице.

**00:40:18** **Роман Чернышов:** Ну, это доработка, надо её прорабатывать и оценивать, пока сейчас не ответим. То есть как, что и вот насколько это трудоёмко. Получается, что доработка таблицы, чтобы, например, возможно, это будет период, к примеру, к переменной будет привязанный, в зависимости от переменной, какие-то колонки в таблице скрывать, какие-то колонки, заголовки некоторых колонок переименовывать.

**00:40:53** **Михаил Кузьменко ФК:** Да, хорошо. И, смотрите, вот то, что мы по НП/ГП обсуждали, переключателю, тоже как бы совсем логично было бы скрыть его. То есть, в принципе, этот чекбокс скрыть, для... сделать невидимым. Как, может быть, это сейчас уже можно сделать. То есть когда мы переключаемся в... Ну, то есть мы когда переключаемся в период, где нет данных по ГП, просто в принципе скрыть его.

**00:41:31** **Владислав Харченко:** Ну, потенциально возможно. С нашей стороны, я думаю, надо проработать сценарий, как там мы переменными можем ну выводить, скрывать компоненты. Но если нет, это скорее всего доработка будет.

**00:41:47** **Владимир Кудрин:** Это всё-таки в зависимости от того, что нет данных? И, например, данные могут появиться, и он должен показаться. Или это вот всё точно в там в каком-то квартале, он не нужен, вот мы это поняли, поэтому в этом квартале мы его скрыли.

**00:42:01** **Вадим Мединцев:** Даже если данные есть.

**00:42:03** **Михаил Кузьменко ФК:** Ну, это это точно. Ну данных там не будет. То есть мы ничего туда уже точно в старый период не загрузим. То есть можно и так, и так сделать. На самом деле это должно выглядеть одинаково. То есть как вам удобнее. Можете на данные завязаться, можете на календарь завязаться. На данные вроде как более универсальный вариант.

**00:42:21** **Вадим Мединцев:** Ну, то есть угу, то есть например, если мы в настройки таблицы вводим настройку скрывать колонки с там с отсутствующими данными, то есть если данных нет, то и колонку скрываем. Такое решение, в принципе, оно устроит. Вот просто грубо говоря, мы эту галочку ставим, и все колонки без данных, они у нас из таблицы исчезают.

**00:42:47** **Михаил Кузьменко ФК:** Ну, наверное, да. Александр, нет у нас таких случаев, чтобы в каких-то компонентах совсем не было данных, даже в тех периодах, когда они должны быть?

**00:43:01** **Вадим Мединцев:** И нужны ли такие колонки пустые? То есть нужно ли их отображать, есть кейсы, где нужно отображать пустую колонку?

**00:43:12** **Александр Душкин:** Где данных в данном атрибуте нет значения, да, то есть в теории может быть, но тогда колонку можно скрывать, вот так наверное будет.

**00:43:30** **Вадим Мединцев:** Хорошо, ну то есть да, то есть если у нас отсутствующие данные, колонку мы можем скрыть. Поэтому можно завязаться довольно несложно.

**00:43:37** **Владислав Харченко:** Тут ещё один момент нужно обратить, это на цветовую палитру колонок. Здесь он выполнен с помощью CSS, и мы привязываемся к столбцу по его номеру. Выглядит это... ну вот так. Соответственно, если мы скроем один столбец, они все съедут, и соответственно визуал тоже съедет. А это один из рисков, которые вот учитывать.

**00:44:25** **Александр Душкин:** Не... **Вадим Мединцев:** То есть мы вручную для каждой колонки вручную выбираем цвет. Какой-то механизм придумать централизованный.

**00:44:42** **Михаил Кузьменко ФК:** Ну, теоретически мы можем подумать насчёт цветов и как-то отказаться от них, возможно. Если вы скажете, что вот такое решение, оно как бы сейчас без доработок возможно, то есть скрывать ячейки, колонки без данных.

**00:45:12** **Роман Чернышов:** А, ну колонки в таблице сейчас, по-моему, нет способа, чтобы скрыть какого-то обходного. Ну, то есть стандартного точно нет, и обходной тоже вроде бы пока не видим. Это если именно про таблицу. Если про закрытие каких-то выбранных колонок и переименование каких-то выбранных колонок в таблице. А вот про закрытие там фильтра, ну как бы это отдельная история.

**00:45:42** **Александр Душкин:** Роман, а сейчас эта проблема решается вот автонастройка минимальной ширины? Для тех полей, которые технические справа таблицы у нас лежат. Мы сейчас не все видим. Может быть, не скрытие, а тоже схлопывание до минимальной ширины столбца?

**00:46:01** **Владислав Харченко:** Тут ещё, так, за внимание. Вот то, что Александр говорит, это речь про сводную таблицу. А на экране сейчас у нас обычная таблица. А сводная таблица это у нас в других дашбордах. Например, главный экран ВПО.

**00:46:19** **Роман Чернышов:** А здесь прям точно это обычная, да?

**00:46:20** **Владислав Харченко:** Да, в дашборде выгрузка ВПО используется компонент обычная таблица.

**00:46:25** **Роман Чернышов:** Угу. Мне казалось, что тут все таблицы сводные. Угу.

**00:46:27** **Владислав Харченко:** И тут цветовые, ну, алгоритм определения цвета, ну, красный, зелёный, она заложена в отдельных столбцах, у которых ширина сокращена до минимальной. Это сделано для того, чтобы при выгрузке в Excel они не были видны.

**00:46:51** **Роман Чернышов:** Угу. Ну, по поводу вопроса от Александра насчёт ширины, да, скрыть. Пока тоже непонятно с текущим функционалом, как вот установить условно там ширину 0, да, вот при каком-то значении фильтра. И тем более там пере... переименовать. Вот про переименование надо посмотреть. Заголовка. Заголовки по-другому полю мы вроде бы делали, и теоретически, может быть, там можно как-то привязаться. Так, а тогда вопрос. Вот это вот поведение таблицы нам нужно только на вкладке выгруз... что мы сейчас там смотрели? Выгрузка ВПО? Угу. Только там это нужно поведение или в других местах тоже? То есть меня интересует только для таблицы или для сводной таблицы тоже нужно?

**00:47:52** **Михаил Кузьменко ФК:** А в других местах мы видим факторы, то есть уже объединённые компоненты, и, соответственно, отсутствие одного компонента, оно не влияет на остальные таблицы. Только выгрузка у нас такая детальная таблица, где всё видно.

**00:48:13** **Александр Душкин:** Владислав... нет, не Владислав, да?

**00:48:21** **Владислав Харченко:** У меня.

**00:48:27** **Александр Душкин:** Я к тому, что на выгрузку в ВПО, а давайте попробуем перейти в самое право. Вот тут помимо сводной таблицы, при выгрузке этой таблицы, она не сводная, да, у нас сейчас обычная таблица. А непосредственно в Excel мы тоже видим технические поля, которые убраны справа с минимальной шириной.

**00:49:21** **Владислав Харченко:** Тут их, мне казалось, быть не должно, технических полей, потому что тут пока не вижу, где бы они могли использоваться. То про вот эти, которые после мер реагирования идёт? Или ещё дальше?

**00:49:48** **Михаил Кузьменко ФК:** Нет, это те, которые пустые сейчас вы показываю.

**00:49:51** **Владислав Харченко:** Ну, до технических полей, которых ширина там 1, в обычной таблице не наблюдаю пока.

**00:50:06** **Александр Душкин:** А, то есть тут у нас ушли они, да?

**00:50:12** **Владислав Харченко:** Ну да, получается. Вот на примере сводной таблицы это выглядит. Это у нас сводная таблица, и тут в конце у нас технические поля вот так скрыты.

**00:50:55** **Александр Душкин:** То есть правильно ли я понимаю, что теоретически, если мы меняем таблицу на экране выгрузка ВПО на сводную, то у нас появляется инструмент для управления шириной столбца.

**00:51:14** **Владислав Харченко:** Да, и в обычной таблице то можно изменять ширину столбца, а...

**00:51:21** **Александр Душкин:** По условию, в смысле?

**00:51:23** **Владислав Харченко:** По условию. Насколько помню, в сводной таблице нельзя было по условию там... ну, сводной таблице, обычная...

**00:51:33** **Александр Душкин:** А, то есть это всё равно фиксированное, да, получается?

**00:51:36** **Роман Чернышов:** Да, всё равно. А в принципе вот здесь вот, в отчёте выгрузка ВПО, мы можем эту обычную таблицу на сводную заменить? Слав, там что-то поменяется от этого?

**00:51:47** **Владислав Харченко:** Ну, это будет долго, нудно, но в целом можно. Не хотелось бы, но можно. То есть все эти названия надо будет перенести на... Но технически возможность есть. Я точно не помню, можно ли скрывать столбцы в сводной таблице. Мне казалось, в новых версиях портала можно было, потому что здесь есть некоторые поля, которые сейчас как будто бы скрываются. Если так в сводной таблице можно сейчас сделать, то...

**00:52:30** **Роман Чернышов:** А тут... ага, я смотрю, что все поля на полке значений, то есть тут нет никакой группировки вообще, да? У нас...

**00:52:34** **Владислав Харченко:** Именно так.

**00:52:58** **Роман Чернышов:** Ну, там в принципе можно какое-то техническое поле сделать, которое будет уникальное, иметь значение для каждой строки. Хорошо.

**00:53:15** **Роман Чернышов:** По поводу, в общем, переименования и скрытия колонок в таблице, да, этот вопрос надо проработать, оценить. То есть ну и что надо будет дорабатывать. По поводу первого вопроса. Ну и, в принципе, Владимир как будто что-то хотел сказать, не успел. Если хотел.

**00:53:41** **Владимир Кудрин:** Там вопрос был всё-таки про да... множественный выбор, если выбрали единичное значение, кажется, что для... сохранение единой логики, не важно, в других дашбордах с единичным выбором мы что-то выбираем или нет, для множества всё равно это единичное значение сохраняется. То есть это допустимое поведение. Михаил, видимо, к вам вопрос.

**00:54:14** **Михаил Кузьменко ФК:** Владимир, у вас было хуже, чем обычно слышно, я не всё понял.

**00:54:17** **Владимир Кудрин:** Давайте еще раз. Если в множественном выборе на дашборде выбрали одно значение, то оно сохраняется в любом случае на всех дашбордах с множественным выбором. Не важно, что мы там в единичном выборе сделали на других дашбордах. Вот такое поведение, оно вполне допустимое.

**00:54:39** **Михаил Кузьменко ФК:** Вы говорите про то, что если мы сделали выбор во множественном...

**00:54:44** **Владимир Кудрин:** Одно значение выбрали, да.

**00:54:45** **Михаил Кузьменко ФК:** Множественный, да. Одно значение.

**00:54:48** **Владимир Кудрин:** Ну, просто логично поведение, что было единообразно, неважно, много я значений там выбрал или одно, оно всегда всё равно сохраняется для всех дашбордов с множественным выбором.

**00:55:00** **Михаил Кузьменко ФК:** Да, оно в любом случае сохраняется, независимо от того, сколько вы выбрали, оно в любом случае сохраняется для всех дашбордов с множественным выбором. Единственное, что мы как бы, у нас была идея, что в этом случае, если вы выбрали одно значение во множественном фильтре, то при переключении в единственный, то есть на экран с единственным выбором, вы это, то есть это значение наследуется. Вот у нас какая идея была, но это не принципиальный момент. Что если в множественном фильтре в любом случае выбрано одно значение, и мы перешли на экран с единственным значением, логично было бы, возможно, его забрать.

**00:55:40** **Владимир Кудрин:** Ну, всё-таки принципиально. По бизнес-процессу. Я понял, да. Принципиально именно сохранение множественных фильтров и единичных при переходе между дашбордами. Именно переход вот по этим кнопкам. Потому что переход, ну, открытие дашборда просто вот я адрес скопировал и вставил там в соседнюю вкладку браузера, такой сценарий мы не рассматриваем.

**00:56:03** **Михаил Кузьменко ФК:** Нет, мы рассматриваем переход по кнопкам, но мы еще один переход не посмотрели. Он тоже у нас, насколько я помню, контрактный был. И у нас есть переходы из этих виджетов, то есть качество планирования, качество администрирования и далее. То есть если туда поднести курсор, то можно вот так перейти. Соответственно, здесь у нас с наследованием, я помню, какие-то проблемы тоже были. Надо попробовать что-то выбрать. МП/ГП у нас тут совсем съехало.

**00:56:44** **Владислав Харченко:** Здесь у нас такой момент, что при переходе в другой отчёт не с помощью кнопок, у нас в целом не передаются какие-либо фильтры.

**00:57:01** **Михаил Кузьменко ФК:** И мы как раз вот эту задачу по фильтру и задачу выбора в периоде последнего имеющегося по дефолту, это вот, которую мы включали в контракт.

**00:57:26** **Роман Чернышов:** А, Влад, сейчас точно, да, они не передаются? То есть я вот не увидел, там был какой-то фильтр назначен, значение в нём?

**00:57:28** **Владислав Харченко:** Точно.

**00:57:36** **Михаил Кузьменко ФК:** Ну, мы не выбрали. Давайте попробуем выбрать, да, на главном экране, и после этого перейти. Я бы еще обратил внимание, что у нас с фильтром НП/ГП какая-то страшная вещь происходит. А, ну, он вообще сломался.

**00:57:50** **Владислав Харченко:** Тут, видимо, значение вообще не выбрано, поэтому так себя и ведёт. Да, нет, выглядит также.

**00:57:57** **Михаил Кузьменко ФК:** А, ну потому что никакие значения не передались, и он поэтому очистился там, да? Ну, по ходу, да. Ну вот и давайте с МВД теперь перейдём по стрелочке из виджета.

**00:58:29** **Вадим Мединцев:** То есть я так понимаю, проблема, что мы сейчас... Я так понимаю, проблема, что мы сейчас технически повесить передачу контекста фильтрации на вот эту вот стрелочку из виджета мы не можем. То есть у нас не реализовано пока такое, да?

**00:58:42** **Владислав Харченко:** Да, сейчас реализована передача фильтров с помощью набора фильтров. Фильтр-сет.

**00:58:56** **Михаил Кузьменко ФК:** И то есть мы мало того, что мы потеряли... МП/ГП, оно у нас вообще без значений стало. У нас не перенёсся выбранный проектный офис, который там был. Но есть ещё один момент. То есть так, вот вернитесь, пожалуйста, Владислав, обратно. На главном экране, то есть мы вверху видим виджеты, посвящённые факторам. И если мы вот перейдём, допустим, на через администрирование...

**00:59:24** **Владислав Харченко:** Нам нужно какое-то ВПО выбрать?

**00:59:30** **Михаил Кузьменко ФК:** Да, нет, не принципиально. Просто вот мы ждём, что мы будем детализировать администрирование.

**00:59:35** **Владислав Харченко:** А фактору передаётся сейчас, потому что он с помощью фильтр... ну, набора фильтров передаётся.

**00:59:42** **Михаил Кузьменко ФК:** А во, да, это это работает.

**00:59:45** **Владислав Харченко:** Остальные фильтры не передаются. Ну и нужно ещё, учитывая, что эти фильтры были созданы давно, поэтому тут и период не актуален.

**01:00:04** **Михаил Кузьменко ФК:** О, тут да, тут видите, какой период он. И, ну да, то есть вот я вспомнил, проблема не с фактором была, а с периодом, да. То есть он же работает в каком-то выбранном периоде, получается, уходит на детализацию и теряет не только выбранные проектные офисы, но и теряет и самый главный период, он попадает в прошлый вообще. Здесь, наверное, хотя бы пока нужно сделать так, чтобы последний период отображался. Всё-таки в большинстве случаев они в последнем периоде работают.

**01:00:40** **Владислав Харченко:** Ну, это можно, думаю, сделать. Для этого нужно набор фильтров поменять.

**01:00:55** **Роман Чернышов:** Я вот посмотрел по групповой панели показателей. Вроде как вот на 26-й год планировалось сделать передачу фильтров при переходе в другой отчёт. То есть вот на эту горизонтальную стрелку, когда нажимаем, чтобы переходили в другой отчёт, да, это было в планах. Ну, но пока угу, да, но оно вот пока вроде бы, не знаю, там движение было какое-то не было.

**01:01:13** **Михаил Кузьменко ФК:** Да, ну я говорил, что это контрактные. Ну вот, это отдельная история, да, пока ещё там не началось работы в этом направлении.

**01:01:22** **Роман Чернышов:** Угу, окей, угу. Понял, да, это это вот в списке есть, да.

**01:01:29** **Вадим Мединцев:** У нас остались ещё какие-то вопросы новые, которые мы хотели бы обсудить, или можем подытожить, подвести итоги?

**01:01:41** **Михаил Кузьменко ФК:** С нашей точки зрения можно подвести.

**01:01:42** **Вадим Мединцев:** Угу. Ну, то есть целевым поведением, я так понимаю, нужно организовать сквозную передачу контекста фильтрации между всеми карточками, ну вот этими вот вкладками, между всеми дашбордами. Плюс также сквозная фильтрация, контекст должен передаваться при переходе на стрелочку вот в групповой панели показателей. Ну вот так и разделить по типу фильтра. Фильтры с множественным выбором — это у нас один фильтр. Фильтры с единичным выбором — это у нас другой фильтр, дабы они не смешивались при передаче вот этого общего контекста фильтрации. Да, я так понимаю, пока у нас такое целевое решение.

**01:02:27** **Михаил Кузьменко ФК:** Да, и если говорить не про фильтры, а вот про отображение каких-то элементов, то посмотреть всё-таки, что вы можете, то есть можете ли вы скрывать элементы в каких-то периодах и скрывать какие-то колонки в каких-то периодах.

**01:02:42** **Вадим Мединцев:** Да, конечно. Ну, это как бы уже, да, следующий вопрос, но он тоже важен.

**01:02:50** **Владислав Харченко:** Под элементами имеется в виду столбцы в таблице?

**01:02:58** **Михаил Кузьменко ФК:** НП/ГП я имел в виду.

**01:02:58** **Владислав Харченко:** А, то есть вот этот фильтр, который сейчас компонент... он тут, а вверх?

**01:03:02** **Вадим Мединцев:** Верхний НП/ГП, верхний, да.

**01:03:03** **Михаил Кузьменко ФК:** Нет-нет, вот НП/ГП.

**01:03:19** **Вадим Мединцев:** Так, коллеги, кому ещё что-то добавить есть?

**01:03:29** **Алина Аванесян:** К разработке больше нет вопросов, да, Михаил?

**01:03:34** **Михаил Кузьменко ФК:** У нас нет, да. Мы сегодня плодотворно поговорили.

**01:03:36** **Алина Аванесян:** Угу. Ну, у меня пар, да, очень плодотворно, всё зафиксирую. У меня ещё пару вопросов организационных остались, если у вас есть ещё время. И Владислав тоже тут остаться, если можешь.

**01:03:50** **Михаил Кузьменко ФК:** Да, я могу.

**01:03:51** **Роман Чернышов:** Один, наверное, уточняющий вопрос там вот по оценке вот этих, чтобы какие-то колонки переименовывать, скрывать в таблицы и сводные таблицы, сроки какие-то есть ожидаемые?

**01:04:08** **Михаил Кузьменко ФК:** Нет, сроков нет. Здесь мы просто ждём от вас пока анализ и возможность.

**01:04:15** **Алина Аванесян:** Да, оценка трудозатрат, самое главное, да, и будем обсуждать.

**01:04:20** **Михаил Кузьменко ФК:** Вот и смотрите, ещё такой момент, который у меня в голове крутился, пока мы обсуждали вот изменения отображения в зависимости от периода. Можно наверное подумать о том, чтобы какие-нибудь данные включили передаваемые, чтобы вы завязались как-то на данные, и то есть признак отображения был там. Вот в этом подумаю направление.

**01:04:46** **Вадим Мединцев:** Угу. И если нет данных, как бы принудительно включать вот НП/ГП, МП вариант, это нас устроит, если при отсутствии данных мы принудительно включаем тумблер в сторону МП и фиксируем его в таком положении. Вот такое решение нас устраивает.

**01:05:08** **Михаил Кузьменко ФК:** Да, это всегда всегда всегда так, да. Всё отлично. Я просто про завязаться на данные имел в виду не только её, то есть использовать кейс, что пустые данные за... даются для того, чтобы там скрывать что-то. А использ, возможно, нам нужно расширить на атрибуты передаваемые и там передавать ещё что-то для того, чтобы это для вас было признаком. Я вот что имел в виду.

**01:05:52** **Вадим Мединцев:** Я пока не до конца понял, а что именно за признак и признак скрывать конкретно что? Ну, про НП/ГП вот эту часть я понял. А про колонки, про отображение или неотображение в случае отсутствия данных тоже я понял. А про какой ещё признак было сказано?

**01:06:13** **Михаил Кузьменко ФК:** Ну, смотрите, мы, допустим, говорили про то, что у нас в разных периодах колонки называются по-разному, да? То есть наверное будет сложно у вас иметь несколько наименований для колонки в зависимости от периода. Может быть, нам добавить какую-то таблицу, которую мы будем загружать к вам, и, соответственно, там будут признаки для всех периодов и на правильное наименование колонок, допустим, для всех периодов.

**01:06:43** **Вадим Мединцев:** Угу. Кажется, теперь я понял, что имеется в виду. Как это реализовать, тут надо думать, да.

**01:06:56** **Владислав Харченко:** Это же речь идёт про выгрузка ВК... дашборд вот этот.

**01:07:03** **Михаил Кузьменко ФК:** Ну, сейчас у нас колонка здесь, да. Здесь у нас есть колонки, которые с разными наименованиями.

**01:07:14** **Владислав Харченко:** Понятно. Тут если каждому плюс-минус столбцу менять наименование, то количество колонок просто на 2 умножится. Ну, таблица уже не маленькая, и это может на производительность повлиять, как будто. Владимир, подскажи, пожалуйста, мог ли быть... и опасения? Вот у нас есть таблица, очень длинная, тут под 30-40 колонок, а мы хотим менять наименование столбца, когда у нас другой период выбран. И, соответственно, если мы это будем делать, то мы это будем делать через вычисляемые поля в таблицах. Ну, в этой таблице. Если мы, например, всем хотим так сделать, то у нас количество столбцов просто на 2 умножится. Могут ли быть проблемы с производительностью тогда у этой таблицы с таким огромным количеством переменных?

**01:08:22** **Владимир Кудрин:** А данных, а данных сколько в таблице?

**01:08:24** **Владислав Харченко:** Данных немного. Порядок десятки 1000 записей.

**01:08:30** **Владимир Кудрин:** Ну, тогда не должно быть.

**01:08:32** **Вадим Мединцев:** И плюс, Влад, мне кажется, что название меняется не для всех колонок, а только для некоторых, наверное, как я понял.

**01:08:38** **Владислав Харченко:** Ну да, для части. То есть тут ну да, не больше чем 2x от количества столбцов.

**01:08:48** **Вадим Мединцев:** Ну да. Я предлагаю начать как бы работать по итерациям. Сначала решить проблемы с передачей контекста фильтрации, добавить, может быть, передачу контекста фильтрации в групповую панель показателей и решить этот вопрос. И, может быть, параллельно или после этого додумать... Вот как бы одну часть вопросов нам понятно, что делать, как решать. А тут можно будет ещё подумать, как это будет сделать грамотнее. Может быть, действительно, добавить просто дополнительную колонку с альтернативным названием и в зависимости от условия показывать либо одну колонку, либо другую. И таким образом у нас будет в таблице либо колонка с одним названием, либо с другим. То есть тут можно подумать, как это сделать лучше.

**01:09:36** **Михаил Кузьменко ФК:** Да, и с помощью... То есть если говорить про приоритеты, вот лично для нас, да, то сначала это вопросы фильтрации, которые вот вы сказали. А уже когда мы говорим про вскрытие чего-то, для нас в первую очередь бы решить проблемы НП/ГП переключателя, вот этого, чтобы он вёл себя адекватно в разных периодах. А уже третий приоритет — это вот колонки этой таблицы.

**01:10:05** **Роман Чернышов:** Хорошо, да. Тогда мы первый вопрос, да, мы его прорабатываем, оцениваем. Вернёмся через Алину, наверное, да, каким-то образом. НП/ГП, насколько я понял, Владислав, это пока вопрос на тебе проработать.

**01:10:17** **Владислав Харченко:** Да, у меня есть подозрение, что можно решить с помощью переменных.

**01:10:18** **Роман Чернышов:** Угу. Ну а третий вопрос тоже на разработке, тоже оценить. И меня всё.

**01:10:40** **Владимир Кудрин:** Всё, тогда коллеги, мы уходим.

**01:10:45** **Вадим Мединцев:** Да, всем спасибо.

**01:10:46** **Алина Аванесян:** Да, большое спасибо, коллеги.

**01:10:47** **Михаил Кузьменко ФК:** Спасибо.
